qualifying_groups,match_74,match_77,match_79,match_80,match_81,match_82,match_85,match_87
EFGHIJKL,3F,3G,3E,3K,3I,3H,3J,3L
DFGHIJKL,3D,3F,3H,3K,3I,3J,3G,3L
DEGHIJKL,3D,3G,3E,3K,3I,3H,3J,3L
DEFHIJKL,3D,3F,3E,3K,3I,3H,3J,3L
DEFGIJKL,3D,3F,3E,3K,3I,3J,3G,3L
DEFGHJKL,3D,3F,3E,3K,3J,3H,3G,3L
DEFGHIKL,3D,3F,3E,3K,3I,3H,3G,3L
DEFGHIJL,3D,3F,3E,3I,3J,3H,3G,3L
DEFGHIJK,3D,3F,3E,3K,3J,3H,3G,3I
CFGHIJKL,3C,3F,3H,3K,3I,3J,3G,3L
CEGHIJKL,3C,3G,3E,3K,3I,3H,3J,3L
CEFHIJKL,3C,3F,3E,3K,3I,3H,3J,3L
CEFGIJKL,3C,3F,3E,3K,3I,3J,3G,3L
CEFGHJKL,3C,3F,3E,3K,3J,3H,3G,3L
CEFGHIKL,3C,3F,3E,3K,3I,3H,3G,3L
CEFGHIJL,3C,3F,3E,3I,3J,3H,3G,3L
CEFGHIJK,3C,3F,3E,3K,3J,3H,3G,3I
CDGHIJKL,3C,3D,3H,3K,3I,3J,3G,3L
CDFHIJKL,3D,3F,3C,3K,3I,3H,3J,3L
CDFGIJKL,3D,3F,3C,3K,3I,3J,3G,3L
CDFGHJKL,3D,3F,3C,3K,3J,3H,3G,3L
CDFGHIKL,3D,3F,3C,3K,3I,3H,3G,3L
CDFGHIJL,3D,3F,3C,3I,3J,3H,3G,3L
CDFGHIJK,3D,3F,3C,3K,3J,3H,3G,3I
CDEHIJKL,3C,3D,3E,3K,3I,3H,3J,3L
CDEGIJKL,3C,3D,3E,3K,3I,3J,3G,3L
CDEGHJKL,3C,3D,3E,3K,3J,3H,3G,3L
CDEGHIKL,3C,3D,3E,3K,3I,3H,3G,3L
CDEGHIJL,3C,3D,3E,3I,3J,3H,3G,3L
CDEGHIJK,3C,3D,3E,3K,3J,3H,3G,3I
CDEFIJKL,3D,3F,3C,3K,3E,3I,3J,3L
CDEFHJKL,3D,3F,3C,3K,3E,3H,3J,3L
CDEFHIKL,3D,3F,3C,3K,3I,3H,3E,3L
CDEFHIJL,3D,3F,3C,3I,3E,3H,3J,3L
CDEFHIJK,3D,3F,3C,3K,3E,3H,3J,3I
CDEFGJKL,3D,3F,3C,3K,3E,3J,3G,3L
CDEFGIKL,3D,3F,3C,3K,3E,3I,3G,3L
CDEFGIJL,3D,3F,3C,3I,3E,3J,3G,3L
CDEFGIJK,3D,3F,3C,3K,3E,3J,3G,3I
CDEFGHKL,3D,3F,3C,3K,3E,3H,3G,3L
CDEFGHJL,3D,3F,3C,3E,3J,3H,3G,3L
CDEFGHJK,3D,3F,3C,3K,3J,3H,3G,3E
CDEFGHIL,3D,3F,3C,3I,3E,3H,3G,3L
CDEFGHIK,3D,3F,3C,3K,3E,3H,3G,3I
CDEFGHIJ,3D,3F,3C,3I,3J,3H,3G,3E
BFGHIJKL,3F,3G,3H,3K,3B,3I,3J,3L
BEGHIJKL,3B,3G,3E,3K,3I,3H,3J,3L
BEFHIJKL,3F,3H,3E,3K,3B,3I,3J,3L
BEFGIJKL,3F,3G,3E,3K,3B,3I,3J,3L
BEFGHJKL,3F,3G,3E,3K,3B,3H,3J,3L
BEFGHIKL,3F,3H,3E,3K,3B,3I,3G,3L
BEFGHIJL,3F,3G,3E,3I,3B,3H,3J,3L
BEFGHIJK,3F,3G,3E,3K,3B,3H,3J,3I
BDGHIJKL,3D,3G,3H,3K,3B,3I,3J,3L
BDFHIJKL,3D,3F,3H,3K,3B,3I,3J,3L
BDFGIJKL,3D,3F,3I,3K,3B,3J,3G,3L
BDFGHJKL,3D,3F,3H,3K,3B,3J,3G,3L
BDFGHIKL,3D,3F,3H,3K,3B,3I,3G,3L
BDFGHIJL,3D,3F,3H,3I,3B,3J,3G,3L
BDFGHIJK,3D,3F,3H,3K,3B,3J,3G,3I
BDEHIJKL,3D,3H,3E,3K,3B,3I,3J,3L
BDEGIJKL,3D,3G,3E,3K,3B,3I,3J,3L
BDEGHJKL,3D,3G,3E,3K,3B,3H,3J,3L
BDEGHIKL,3D,3H,3E,3K,3B,3I,3G,3L
BDEGHIJL,3D,3G,3E,3I,3B,3H,3J,3L
BDEGHIJK,3D,3G,3E,3K,3B,3H,3J,3I
BDEFIJKL,3D,3F,3E,3K,3B,3I,3J,3L
BDEFHJKL,3D,3F,3E,3K,3B,3H,3J,3L
BDEFHIKL,3D,3F,3E,3K,3B,3H,3I,3L
BDEFHIJL,3D,3F,3E,3I,3B,3H,3J,3L
BDEFHIJK,3D,3F,3E,3K,3B,3H,3J,3I
BDEFGJKL,3D,3F,3E,3K,3B,3J,3G,3L
BDEFGIKL,3D,3F,3E,3K,3B,3I,3G,3L
BDEFGIJL,3D,3F,3E,3I,3B,3J,3G,3L
BDEFGIJK,3D,3F,3E,3K,3B,3J,3G,3I
BDEFGHKL,3D,3F,3E,3K,3B,3H,3G,3L
BDEFGHJL,3D,3F,3H,3E,3B,3J,3G,3L
BDEFGHJK,3D,3F,3H,3K,3B,3J,3G,3E
BDEFGHIL,3D,3F,3E,3I,3B,3H,3G,3L
BDEFGHIK,3D,3F,3E,3K,3B,3H,3G,3I
BDEFGHIJ,3D,3F,3H,3I,3B,3J,3G,3E
BCGHIJKL,3C,3G,3H,3K,3B,3I,3J,3L
BCFHIJKL,3C,3F,3H,3K,3B,3I,3J,3L
BCFGIJKL,3C,3F,3I,3K,3B,3J,3G,3L
BCFGHJKL,3C,3F,3H,3K,3B,3J,3G,3L
